Textbox15,Textbox4,Textbox10
02/01/2012 a 06/01/2012,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BVA S.A.                                                ,"   1,17","    14,98"
2,BCO DO ESTADO DO RS S.A.,"   1,22","    15,63"
3,BCO CITIBANK S.A.,"   1,25","    16,06"
4,BCO DO BRASIL S.A.,"   1,43","    18,51"
5,BCO VOTORANTIM S.A.,"   1,43","    18,52"
6,BCO GUANABARA S.A.,"   1,49","    19,39"
7,BCO SAFRA S.A.,"   1,62","    21,30"
8,BCO DAYCOVAL S.A,"   1,73","    22,85"
9,BCO DO NORDESTE DO BRASIL S.A.,"   1,76","    23,28"
10,BCO FICSA S.A.,"   1,85","    24,65"
11,BCO BANESTES S.A.,"   1,86","    24,72"
12,BANCO VIPAL,"   1,89","    25,21"
13,BCO BRADESCO S.A.,"   1,95","    26,03"
14,CAIXA ECONOMICA FEDERAL,"   1,96","    26,16"
15,BCO CCB BRASIL S.A.,"   1,99","    26,61"
16,BANCO FIDIS,"   1,99","    26,69"
17,KIRTON BANK,"   2,03","    27,26"
18,BCO SANTANDER (BRASIL) S.A.,"   2,08","    27,96"
19,ITAÚ UNIBANCO S.A.,"   2,10","    28,27"
20,BANCO BRADESCARD,"   2,10","    28,39"
21,ESTRELA MINEIRA,"   2,11","    28,49"
22,BANCO TOPÁZIO S.A.,"   2,35","    32,18"
23,BCO BMG S.A.,"   2,46","    33,91"
24,BRB - BCO DE BRASILIA S.A.,"   2,58","    35,78"
25,BCO DO EST. DE SE S.A.,"   2,59","    35,97"
26,BCO MERCANTIL DO BRASIL S.A.,"   2,68","    37,32"
27,BCO AGIBANK S.A.,"   2,69","    37,44"
28,BCO DA AMAZONIA S.A.,"   2,76","    38,63"
29,BCO A.J. RENNER S.A.,"   3,18","    45,62"
30,BCO TRIANGULO S.A.,"   3,19","    45,79"
31,PORTOSEG S.A. CFI,"   3,74","    55,40"
32,DIRECAO S.A. CFI,"   3,80","    56,48"

